bikes,bike_stands,temp_c,feelslike_c,wind_kph,humidity,precip_mm,gust_kph,wind_degree,pressure_mb,cloud,uv
12,19,1.1,-2.9,14.6,86.5,0.0,16.9,337,1035.1,100.0,0
13,19,0.9,-1.3,7.0,86.49,0.0,17.3,263,1034.4,96.1,0
14,17,1.0,-0.6,5.2,86.92,0.0,16.2,216,1033.6,96.1,0
13,18,1.0,-2.1,9.9,87.68,0.0,16.6,275,1033.2,96.1,0
13,18,0.9,-2.8,12.5,91.99,0.0,15.8,270,1032.3,96.1,0
13,18,0.9,-3.4,15.5,93.28,0.0,17.6,276,1031.7,96.1,0
13,18,1.0,-2.1,10.1,92.57,0.0,18.0,252,1031.1,96.1,0
13,18,1.0,-1.6,8.1,92.84,0.0,18.0,233,1030.4,96.1,0
15,17,1.0,-1.4,7.7,93.11,0.0,20.2,235,1029.6,100.0,0
19,12,1.4,-1.7,10.4,92.53,0.0,20.2,253,1028.7,100.0,0
22,9,1.8,-1.9,13.7,89.42,0.0,20.2,267,1028.4,100.0,0
13,18,1.8,-1.9,13.5,92.29,0.0,19.4,264,1028.4,100.0,0
10,22,2.3,-1.3,13.5,91.22,0.0,19.8,262,1027.7,92.2,0
17,15,3.0,-0.6,14.2,91.99,0.0,19.8,252,1027.6,92.2,1
12,20,3.4,-0.1,13.8,93.49,0.0,23.8,247,1026.7,92.2,1
10,22,3.5,-0.4,16.8,97.6,0.0,24.8,264,1026.2,96.1,1
8,23,3.9,0.7,12.9,99.07,0.0,24.1,264,1024.8,100.0,0
7,25,3.9,0.9,12.3,98.89,0.0,24.1,261,1024.4,96.1,0
8,24,4.1,0.6,15.5,98.71,0.0,23.8,289,1024.4,96.1,0
4,27,4.1,1.2,11.9,98.8,0.0,21.6,289,1024.2,96.1,0
5,26,4.1,2.1,8.1,98.81,0.078,19.1,244,1023.5,92.2,0
2,30,4.1,1.6,9.9,98.81,0.0,19.4,264,1023.3,92.2,0
1,30,4.0,1.1,11.9,97.3,0.0,18.4,259,1022.5,92.2,0
1,30,3.7,1.2,9.6,98.99,0.0,16.6,289,1022.4,89.0,0
0,31,3.7,0.9,10.9,95.19,0.0,15.8,295,1021.5,89.0,0
1,31,3.1,0.6,9.3,94.8,0.0,16.6,274,1021.4,89.0,0
1,30,3.6,1.0,9.6,89.29,0.001,17.6,290,1021.1,90.3,0
0,31,3.1,0.4,9.9,93.31,0.0,19.1,295,1020.3,92.2,0
0,31,2.7,-0.7,12.9,89.15,0.0,21.2,272,1019.5,91.9,0
0,31,2.9,-0.1,11.3,89.59,0.0,21.2,259,1019.3,92.2,0
0,31,2.0,-1.3,11.9,92.49,0.0,25.6,276,1018.5,92.1,0
0,31,2.2,-1.6,14.3,97.42,0.0,25.9,277,1018.3,89.0,0
0,31,2.0,-2.0,14.9,93.27,0.0,23.8,275,1017.6,58.4,0
3,28,1.1,-3.1,15.2,94.7,0.0,26.3,262,1017.4,57.0,0
4,27,0.3,-4.0,14.9,93.9,0.0,27.4,273,1017.4,39.6,0
5,27,0.4,-3.6,13.5,98.13,0.0,29.5,271,1017.4,61.0,0
5,27,1.2,-3.1,16.1,98.97,0.0,30.6,288,1017.3,89.0,0
6,26,2.1,-2.0,16.1,97.6,0.0,31.7,297,1017.4,89.0,0
5,26,3.3,-0.3,15.2,93.66,0.001,30.6,289,1016.5,46.0,1
5,26,4.7,1.3,15.2,87.66,0.0,31.0,303,1016.4,64.8,0
6,26,4.8,1.4,15.2,82.92,0.0,31.0,314,1015.7,50.2,1
6,25,4.9,1.2,18.0,79.22,0.0,31.0,324,1015.6,85.2,0
5,27,4.0,0.4,15.8,81.63,0.0,28.1,314,1015.6,85.1,0
